INFO - xla_bridge.py - 2025-01-29 13:55:15,168 - Unable to initialize backend 'cuda': 
INFO - xla_bridge.py - 2025-01-29 13:55:15,170 - Unable to initialize backend 'rocm': module 'jaxlib.xla_extension' has no attribute 'GpuAllocatorConfig'
INFO - xla_bridge.py - 2025-01-29 13:55:15,209 - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
INFO - checkpoints.py - 2025-01-29 13:55:17,040 - Restoring orbax checkpoint from /home/komodo/Documents/uni/thesis/score_sde/checkpoints-meta/checkpoint_15
INFO - checkpointer.py - 2025-01-29 13:55:17,045 - Restoring item from /home/komodo/Documents/uni/thesis/score_sde/checkpoints-meta/checkpoint_15.
WARNING - transform_utils.py - 2025-01-29 13:55:17,235 - The transformations API will eventually be replaced by an upgraded design. The current API will not be removed until this point, but it will no longer be actively worked on.
INFO - checkpointer.py - 2025-01-29 13:55:17,273 - Finished restoring checkpoint from /home/komodo/Documents/uni/thesis/score_sde/checkpoints-meta/checkpoint_15.
WARNING - deprecation.py - 2025-01-29 13:55:17,277 - From /home/komodo/Documents/uni/thesis/score_sde/datasets.py:158: load (from tensorflow.python.data.experimental.ops.io) is deprecated and will be removed in a future version.
Instructions for updating:
Use `tf.data.Dataset.load(...)` instead.
WARNING - options.py - 2025-01-29 13:55:17,374 - options.experimental_threading is deprecated. Use options.threading instead.
WARNING - options.py - 2025-01-29 13:55:17,375 - options.experimental_threading is deprecated. Use options.threading instead.
WARNING - options.py - 2025-01-29 13:55:17,721 - options.experimental_threading is deprecated. Use options.threading instead.
WARNING - options.py - 2025-01-29 13:55:17,722 - options.experimental_threading is deprecated. Use options.threading instead.
INFO - run_lib.py - 2025-01-29 13:55:18,326 - Starting training loop at step 150005.
INFO - run_lib.py - 2025-01-29 13:55:21,345 - step: 150050, training_loss: 3.41775e-01
INFO - run_lib.py - 2025-01-29 13:55:21,456 - step: 150100, training_loss: 3.37532e-01
INFO - run_lib.py - 2025-01-29 13:55:22,925 - step: 150100, eval_loss: 3.41137e-01
INFO - run_lib.py - 2025-01-29 13:55:23,091 - step: 150150, training_loss: 3.20163e-01
INFO - run_lib.py - 2025-01-29 13:55:23,259 - step: 150200, training_loss: 3.23640e-01
